_id,name,channel,link,date,viewCount
Evanescence - My Heart Is Broken,Evanescence - My Heart Is Broken,EvanescenceVEVO,https://www.youtube.com/watch?v=f1QGnq9jUU0&authuser=1,2023-04-03T19:09:00.000Z,97
Evanescence - Going Under (Official HD Music Video),Evanescence - Going Under (Official HD Music Video),EvanescenceVEVO,https://www.youtube.com/watch?v=CdhqVtpR2ts&authuser=1,2023-06-30T11:48:00.000Z,90
Bring Me The Horizon - MANTRA (Official Video),Bring Me The Horizon - MANTRA (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=VAXg78MKJcM&authuser=1,2024-02-20T10:50:00.000Z,79
"Fall Out Boy - Dance, Dance (Official Music Video)","Fall Out Boy - Dance, Dance (Official Music Video)",FallOutBoyVEVO,https://www.youtube.com/watch?v=C6MOKXm8x50&authuser=1,2023-11-29T18:21:00.000Z,70
Angels & Airwaves - The Wolfpack (Official Video),Angels & Airwaves - The Wolfpack (Official Video),AngelsAirwavesVEVO,https://www.youtube.com/watch?v=7zxEw3QanhY&authuser=1,2022-01-31T17:23:00.000Z,69
blink-182 - First Date (Official Video),blink-182 - First Date (Official Video),blink182VEVO,https://www.youtube.com/watch?v=vVy9Lgpg1m8&authuser=1,2024-03-15T20:12:00.000Z,67
blink-182 - Darkside (Official Video),blink-182 - Darkside (Official Video),blink182VEVO,https://www.youtube.com/watch?v=4cbSPNZryzo&authuser=1,2024-01-07T00:44:00.000Z,62
Fall Out Boy - Irresistible (Official Music Video) ft. Demi Lovato,Fall Out Boy - Irresistible (Official Music Video) ft. Demi Lovato,FallOutBoyVEVO,https://www.youtube.com/watch?v=2Lb2BiUC898&authuser=1,2023-03-20T18:08:00.000Z,62
Bloodhound Gang - Foxtrot Uniform Charlie Kilo (Official Video),Bloodhound Gang - Foxtrot Uniform Charlie Kilo (Official Video),BloodhoundGangVEVO,https://www.youtube.com/watch?v=JZpxaiNV_sM&authuser=1,2024-03-15T20:06:00.000Z,61
Fountains of Wayne - Stacy's Mom (Official Music Video),Fountains of Wayne - Stacy's Mom (Official Music Video),FountainsOfWayneVEVO,https://www.youtube.com/watch?v=dZLfasMPOU4&authuser=1,2023-12-19T15:31:00.000Z,59
Avril Lavigne - Rock N Roll (Official Video),Avril Lavigne - Rock N Roll (Official Video),AvrilLavigneVEVO,https://www.youtube.com/watch?v=uuNTO31FlY8&authuser=1,2023-07-04T11:57:00.000Z,59
