_id,name,channel,link,date,image,viewCount
Evanescence - My Heart Is Broken,Evanescence - My Heart Is Broken,EvanescenceVEVO,https://www.youtube.com/watch?v=f1QGnq9jUU0&authuser=1,2023-04-03T19:09:00.000Z,https://i.ytimg.com/vi/f1QGnq9jUU0/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,97
Evanescence - Going Under (Official HD Music Video),Evanescence - Going Under (Official HD Music Video),EvanescenceVEVO,https://www.youtube.com/watch?v=CdhqVtpR2ts&authuser=1,2023-06-30T11:48:00.000Z,https://i.ytimg.com/vi/CdhqVtpR2ts/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,90
Bring Me The Horizon - MANTRA (Official Video),Bring Me The Horizon - MANTRA (Official Video),BMTHOfficialVEVO,https://www.youtube.com/watch?v=VAXg78MKJcM&authuser=1,2024-02-20T10:50:00.000Z,https://i.ytimg.com/vi/VAXg78MKJcM/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,79
"Fall Out Boy - Dance, Dance (Official Music Video)","Fall Out Boy - Dance, Dance (Official Music Video)",FallOutBoyVEVO,https://www.youtube.com/watch?v=C6MOKXm8x50&authuser=1,2023-11-29T18:21:00.000Z,https://i.ytimg.com/vi/C6MOKXm8x50/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,70
Angels & Airwaves - The Wolfpack (Official Video),Angels & Airwaves - The Wolfpack (Official Video),AngelsAirwavesVEVO,https://www.youtube.com/watch?v=7zxEw3QanhY&authuser=1,2022-01-31T17:23:00.000Z,https://i.ytimg.com/vi/7zxEw3QanhY/mqdefault.jpg?at=AJOi4lEAZijToYL3729x7PL8I9rw%3A1710612978116,69
blink-182 - First Date (Official Video),blink-182 - First Date (Official Video),blink182VEVO,https://www.youtube.com/watch?v=vVy9Lgpg1m8&authuser=1,2024-03-15T20:12:00.000Z,https://i.ytimg.com/vi/vVy9Lgpg1m8/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,67
Fall Out Boy - Irresistible (Official Music Video) ft. Demi Lovato,Fall Out Boy - Irresistible (Official Music Video) ft. Demi Lovato,FallOutBoyVEVO,https://www.youtube.com/watch?v=2Lb2BiUC898&authuser=1,2023-03-20T18:08:00.000Z,https://i.ytimg.com/vi/2Lb2BiUC898/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,62
blink-182 - Darkside (Official Video),blink-182 - Darkside (Official Video),blink182VEVO,https://www.youtube.com/watch?v=4cbSPNZryzo&authuser=1,2024-01-07T00:44:00.000Z,https://i.ytimg.com/vi/4cbSPNZryzo/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,62
Bloodhound Gang - Foxtrot Uniform Charlie Kilo (Official Video),Bloodhound Gang - Foxtrot Uniform Charlie Kilo (Official Video),BloodhoundGangVEVO,https://www.youtube.com/watch?v=JZpxaiNV_sM&authuser=1,2024-03-15T20:06:00.000Z,https://i.ytimg.com/vi/JZpxaiNV_sM/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,61
Avril Lavigne - Rock N Roll (Official Video),Avril Lavigne - Rock N Roll (Official Video),AvrilLavigneVEVO,https://www.youtube.com/watch?v=uuNTO31FlY8&authuser=1,2023-07-04T11:57:00.000Z,https://i.ytimg.com/vi/uuNTO31FlY8/mqdefault.jpg?at=AJOi4lHFHdUfV3mckfvp9s19HMd8%3A1710611787255,59
